Name,Type,HBCU,HSI,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Pell_Grant,Federal_Loan,logEndowment
Oregon Institute of Technology,Public,No,No,23366,9699,8211,0.3737,0.4605,7.477
Oregon State University,Public,No,No,27595,11902,10436,0.2194,0.4155,8.828
University of Oregon,Public,No,No,27717,15822,11646,0.2422,0.3616,8.976
Pacific University,Private,No,No,62157,11905,8473,0.2813,0.9351,7.853
Portland State University,Public,No,No,20571,10503,10119,0.5362,0.3452,6.403
University of Portland,Private,No,No,64049,14060,8602,0.1299,0.4545,8.32
Southern Oregon University,Public,No,No,17755,8942,9058,0.3636,0.4756,7.486
Corban University,Private,No,No,45919,4053,6692,0.4029,0.733,5.633
Western Oregon University,Public,No,No,22810,10152,6929,0.4328,0.9028,7.247
Bryn Athyn College of the New Church,Private,No,No,36254,12004,7113,0.5823,0.6456,7.765
Allegheny College,Private,No,No,64901,13803,7954,0.3024,0.6169,8.363
DeSales University,Private,No,No,54300,9638,8139,0.2317,0.6994,7.891
Arcadia University,Private,No,No,59684,8882,8019,0.3573,0.8223,7.848
Bucknell University,Private,No,No,75400,22845,11606,0.0799,0.2718,8.938
Cabrini University,Private,No,No,46293,8054,7401,0.4918,0.8104,7.641
California University of Pennsylvania,Public,No,No,25716,9046,10343,0.4618,0.8365,7.42
Carlow University,Private,No,No,44201,11892,7144,0.4877,0.9753,7.511
Carnegie Mellon University,Private,No,No,74489,34441,12444,0.1407,0.4019,9.297
Cedar Crest College,Private,No,No,52279,11581,7902,0.4195,0.8195,7.512
Chestnut Hill College,Private,No,No,54599,8758,6407,0.5095,0.8952,6.976
Delaware Valley University,Private,No,No,56828,9303,8653,0.366,0.9576,7.539
Drexel University,Private,No,No,69397,18571,11553,0.2496,0.5729,8.91
Duquesne University,Private,No,No,56199,12648,9343,0.18,0.6146,8.689
East Stroudsburg University of Pennsylvania,Public,No,No,24870,7318,10159,0.4533,0.732,7.299
Eastern University,Private,No,No,48828,7338,6168,0.4316,0.7477,7.484
Edinboro University of Pennsylvania,Public,No,No,22036,10689,10261,0.4175,0.7418,7.508
Elizabethtown College,Private,No,No,44978,16759,9146,0.2135,0.727,7.944
Gannon University,Private,No,No,46867,9087,8111,0.331,0.7524,7.815
Gwynedd Mercy University,Private,No,No,47646,8677,6857,0.4226,0.841,7.473
Haverford College,Private,No,No,76384,27097,10369,0.146,0.1322,8.722
Holy Family University,Private,No,No,37020,8453,7308,0.4564,0.7936,7.326
Immaculata University,Private,No,No,44036,6348,4963,0.3294,0.8095,7.268
Indiana University of Pennsylvania-Main Campus,Public,No,No,28442,10777,10284,0.4525,0.7799,7.847
Keystone College,Private,No,No,39200,6511,6264,0.5882,0.8441,6.823
Kutztown University of Pennsylvania,Public,No,No,28414,9295,9755,0.3563,0.7687,7.503
La Roche University,Private,No,No,43073,7353,6746,0.3317,0.5317,6.783
Lafayette College,Private,No,No,74016,25355,11671,0.1146,0.2464,8.935
Lancaster Bible College,Private,No,No,36544,7076,6168,0.3434,0.6928,7.155
Lebanon Valley College,Private,No,No,59255,12644,7645,0.2343,0.7552,7.856
Lehigh University,Private,No,No,71310,23641,13904,0.2006,0.3841,9.15
Lincoln University,Public,Yes,No,26008,8643,8953,0.7178,0.8826,7.645
Lock Haven University,Public,No,No,25916,11249,10461,0.4305,0.8102,7.318
Lycoming College,Private,No,No,57132,13246,7743,0.4882,0.7735,8.304
Mansfield University of Pennsylvania,Public,No,No,24278,11495,10255,0.5583,0.7937,6.021
Marywood University,Private,No,No,49609,10393,7505,0.35,0.725,7.639
Messiah University,Private,No,No,49864,10695,8411,0.2475,0.7228,8.14
Millersville University of Pennsylvania,Public,No,No,27526,8568,10111,0.2989,0.729,7.642
Muhlenberg College,Private,No,No,69413,16083,9149,0.184,0.619,8.461
Neumann University,Private,No,No,50640,7350,7031,0.4591,0.8389,7.53
University of Pennsylvania,Private,No,No,78186,57279,18702,0.1487,0.1141,10.166
University of the Sciences,Private,No,No,43968,16452,8508,0.2535,0.6573,8.21
University of Pittsburgh-Bradford,Public,No,No,28132,8069,7562,0.544,0.8194,5.38
University of Pittsburgh-Greensburg,Public,No,No,27461,7209,7370,0.4185,0.7324,6.759
University of Pittsburgh-Johnstown,Public,No,No,27031,8010,7625,0.3372,0.6744,7.656
University of Pittsburgh-Pittsburgh Campus,Public,No,No,33964,19401,11097,0.1556,0.4983,9.632
Point Park University,Private,No,No,45350,9840,8745,0.4179,0.7879,7.672
Robert Morris University,Private,No,No,47724,9422,12967,0.3187,0.7921,7.564
Rosemont College,Private,No,No,35805,5245,5401,0.5978,0.8913,7.235
Saint Francis University,Private,No,No,54101,8556,7028,0.1911,0.7022,7.706
Saint Joseph's University,Private,No,No,63223,11658,10049,0.1322,0.5978,8.469
Saint Vincent College,Private,No,No,50140,10429,7723,0.324,0.7849,8.032
University of Scranton,Private,No,No,62380,13123,10390,0.1982,0.7002,8.322
Shippensburg University of Pennsylvania,Public,No,No,29182,10407,10592,0.4118,0.7941,7.624
Slippery Rock University of Pennsylvania,Public,No,No,24600,7685,9930,0.3395,0.7536,7.556
Swarthmore College,Private,No,No,73932,37819,13299,0.2014,0.1079,9.329
Thiel College,Private,No,No,48566,11445,6898,0.5061,0.834,7.526
Thomas Jefferson University,Private,No,No,60290,29590,9347,0.3387,0.6516,8.98
Ursinus College,Private,No,No,69604,14677,8997,0.1903,0.71,8.14
Villanova University,Private,No,No,73042,16113,11333,0.102,0.4241,8.871
Waynesburg University,Private,No,No,37431,9636,6859,0.3746,0.8113,7.665
West Chester University of Pennsylvania,Public,No,No,26114,7655,9931,0.2738,0.6776,7.674
Widener University,Private,No,No,62831,12205,9057,0.2517,0.8226,7.976
Wilkes University,Private,No,No,54085,10609,8953,0.3628,0.797,7.715
Wilson College,Private,No,No,37019,5269,6289,0.3838,0.7374,7.743
York College of Pennsylvania,Private,No,No,32801,9870,8892,0.2919,0.7473,8.191
Brown University,Private,No,No,77490,35486,15666,0.1337,0.1145,9.6
Bryant University,Private,No,No,62855,10275,14674,0.1183,0.5386,8.265
Providence College,Private,No,No,69407,14763,11089,0.1523,0.5312,8.37
Rhode Island College,Public,No,Yes,17761,10320,9805,0.5571,0.6551,7.551
University of Rhode Island,Public,No,No,30339,9329,9836,0.2582,0.649,8.33
Rhode Island School of Design,Private,No,No,72571,19292,10024,0.1563,0.3063,8.545
Charleston Southern University,Private,No,No,40177,7716,5986,0.372,0.6073,7.288
Southern Wesleyan University,Private,No,No,35949,5871,5126,0.4536,0.7165,6.761
College of Charleston,Public,No,No,29545,9767,8827,0.2141,0.3959,8.001
Citadel Military College of South Carolina,Public,No,No,30022,12803,8845,0.1873,0.4861,8.498
Claflin University,Private,Yes,No,33777,8503,7137,0.7625,0.8736,7.457
Clemson University,Public,No,No,32254,13258,10401,0.1353,0.3677,8.889
Coker University,Private,No,No,42395,6350,6477,0.4962,0.7331,7.468
Columbia International University,Private,No,No,36979,7340,4915,0.4318,0.6212,6.671
Columbia College,Private,No,No,33178,6820,6256,0.6747,0.8554,7.304
Converse University,Private,No,No,33858,8086,6296,0.9946,0.3763,7.916
Erskine College,Private,No,No,52411,3854,5249,0.4578,0.734,7.638
Francis Marion University,Public,No,No,21888,9257,7549,0.6261,0.6742,7.453
Furman University,Private,No,No,67299,21032,9396,0.0941,0.2593,8.842
Lander University,Public,No,No,24474,6085,6503,0.4475,0.6882,7.211
Limestone University,Private,No,No,42137,6342,5220,0.5446,0.7723,7.394
Newberry College,Private,No,No,42320,6924,6112,0.5734,0.8023,7.255
North Greenville University,Private,No,No,37771,5636,5876,0.3913,0.5703,7.541
Presbyterian College,Private,No,No,53720,12058,8175,0.3333,0.6316,7.962
University of South Carolina Aiken,Public,No,No,20735,8301,7162,0.455,0.536,7.437
University of South Carolina Beaufort,Public,No,No,24235,8147,7397,0.4909,0.6568,6.929
University of South Carolina-Columbia,Public,No,No,28602,12225,10933,0.1766,0.4663,8.792
Coastal Carolina University,Public,No,No,24313,9388,7796,0.3459,0.6502,7.619
South Carolina State University,Public,Yes,No,30015,9063,7233,0.8078,0.8134,7.035
University of South Carolina-Upstate,Public,No,No,23660,7539,7259,0.5653,0.6947,7.051
Winthrop University,Public,No,No,29266,8817,7743,0.4762,0.7102,7.771
Augustana University,Private,No,No,47710,12662,6711,0.2302,0.6209,7.953
Black Hills State University,Public,No,No,20937,7287,7098,0.3425,0.6342,7.104
Dakota State University,Public,No,No,22365,9003,8257,0.2978,0.6501,7.199
Dakota Wesleyan University,Private,No,No,38617,6905,6066,0.3374,0.9755,7.477
Northern State University,Public,No,No,21388,9979,7539,0.3446,0.6215,7.501
Presentation College,Private,No,No,35087,6766,5345,0.4,0.6857,7.085
South Dakota School of Mines and Technology,Public,No,No,25078,12101,9638,0.2013,0.5375,7.845
South Dakota State University,Public,No,No,22230,8959,8653,0.2251,0.633,8.164
University of South Dakota,Public,No,No,23016,10517,8001,0.2877,0.628,8.364
Austin Peay State University,Public,No,No,23931,8197,8077,0.5765,0.4974,7.521
Baptist Health Sciences University,Private,No,No,20485,9989,6897,0.5506,0.7079,7.712
Belmont University,Private,No,No,54595,10215,10641,0.1797,0.4054,8.438
Bethel University,Private,No,No,30992,9052,3405,0.6742,0.7348,7.057
Carson-Newman University,Private,No,No,40422,5294,5693,0.5108,0.5989,7.775
Lipscomb University,Private,No,No,49074,12078,7940,0.2111,0.4452,7.914
East Tennessee State University,Public,No,No,22323,13292,7539,0.4402,0.4532,8.106
Fisk University,Private,Yes,No,37482,6474,5816,0.5833,0.6605,7.407
Freed-Hardeman University,Private,No,No,35099,8031,7082,0.3242,0.5841,7.77
Johnson University,Private,No,No,27168,9074,5682,0.4414,0.5793,8.081
King University,Private,No,No,42662,5027,5234,0.4483,0.7044,7.556
Lee University,Private,No,No,31522,6941,7517,0.3088,0.8831,7.378
Lincoln Memorial University,Private,No,No,36365,9189,6997,0.2759,0.3755,7.617
The University of Tennessee Southern,Private,No,No,40576,7344,5691,0.5064,0.588,7.17
Maryville College,Private,No,No,49603,8186,6464,0.4669,0.739,7.969
University of Memphis,Public,No,No,24139,9360,8705,0.5201,0.5277,8.349
Middle Tennessee State University,Public,No,No,21241,10134,8732,0.4392,0.4501,8.024
Rhodes College,Private,No,No,64249,15801,8704,0.1779,0.3907,8.547
The University of the South,Private,No,No,62647,19034,9473,0.1507,0.6826,8.611
Southern Adventist University,Private,No,Yes,35820,10482,4903,0.305,0.5208,7.651
Tennessee Wesleyan University,Private,No,No,33219,7464,5274,0.4348,0.5556,7.105
The University of Tennessee-Chattanooga,Public,No,No,23436,8718,8700,0.3274,0.4728,8.258
The University of Tennessee-Knoxville,Public,No,No,32010,12209,11170,0.2399,0.373,8.893
Tennessee Technological University,Public,No,No,24458,8998,8334,0.3821,0.4727,7.853
Trevecca Nazarene University,Private,No,No,34473,6478,7019,0.3878,0.5026,7.508
Tusculum University,Private,No,No,39440,5016,5185,0.5729,0.5625,7.371
Union University,Private,No,No,54324,11827,7417,0.3626,0.6062,7.648
Vanderbilt University,Private,No,No,73148,31711,14538,0.1684,0.1085,9.797
Abilene Christian University,Private,No,No,51577,9721,8324,0.2569,0.5402,8.647
Angelo State University,Public,No,Yes,19810,6687,7600,0.4966,0.4715,8.268
Austin College,Private,No,No,56377,12388,7549,0.3677,0.5741,8.175
Concordia University Texas,Private,No,Yes,47251,5238,7487,0.4421,0.6695,7.393
Texas A & M University-Corpus Christi,Public,No,Yes,22459,8086,8399,0.3744,0.4455,7.285
Dallas Baptist University,Private,No,No,42855,9769,8151,0.268,0.4378,7.672
University of Dallas,Private,No,No,58050,11284,8216,0.288,0.5131,7.87
Texas A&M University-Texarkana,Public,No,No,19447,11591,8038,0.4879,0.5362,6.877
Texas A & M University-Commerce,Public,No,No,22575,7618,8029,0.5305,0.6074,7.413
Hardin-Simmons University,Private,No,No,42530,8843,7332,0.4384,0.6493,8.289
Houston Baptist University,Private,No,Yes,43638,6290,7063,0.5815,0.6017,8.024
University of Houston-Clear Lake,Public,No,Yes,25567,7656,9212,0.37,0.2564,7.47
University of Houston,Public,No,Yes,23361,8309,12444,0.4365,0.3636,8.935
Huston-Tillotson University,Private,Yes,Yes,24148,5068,5569,0.8284,0.9461,7.038
University of the Incarnate Word,Private,No,Yes,45532,10422,8479,0.4692,0.5875,8.153
Lamar University,Public,No,No,20362,5808,8283,0.507,0.4542,8.109
Texas A & M International University,Public,No,Yes,13408,5837,8710,0.7649,0.2513,7.731
LeTourneau University,Private,No,No,44629,9185,6184,0.2861,0.5811,7.343
Lubbock Christian University,Private,No,No,37198,7738,6716,0.2939,0.8889,7.325
University of Mary Hardin-Baylor,Private,No,No,42812,10026,8034,0.4423,0.6998,7.965
McMurry University,Private,No,Yes,41764,9208,6643,0.5961,0.9255,7.972
Midwestern State University,Public,No,No,19972,10085,8038,0.5204,0.518,7.406
University of North Texas,Public,No,Yes,23770,6169,10426,0.3945,0.4536,8.288
Our Lady of the Lake University,Private,No,Yes,40753,12045,7246,0.6394,0.7212,7.481
The University of Texas Rio Grande Valley,Public,No,Yes,14250,6872,7967,0.7004,0.2105,7.806
Paul Quinn College,Private,Yes,No,19189,2745,4705,0.8493,0.7877,6.486
Prairie View A & M University,Public,Yes,No,25164,7706,8108,0.6692,0.7528,7.93
Rice University,Private,No,No,67102,43201,16378,0.1623,0.0916,9.813
Sam Houston State University,Public,No,Yes,22885,6885,7918,0.4468,0.5794,8.079
Schreiner University,Private,No,Yes,41896,9171,5877,0.4045,0.7023,7.862
St. Mary's University,Private,No,Yes,42354,11546,9661,0.4816,0.6415,8.293
Southern Methodist University,Private,No,No,76346,18995,13370,0.0902,0.218,9.213
Southwestern Assemblies of God University,Private,No,No,34268,6110,6297,0.537,0.7556,6.953
Southwestern University,Private,No,No,57825,11394,8471,0.2528,0.4966,8.472
Stephen F Austin State University,Public,No,No,22178,7623,7867,0.41,0.5227,7.948
Texas State University,Public,No,Yes,23453,7757,8480,0.4094,0.5476,8.319
Southwestern Adventist University,Private,No,Yes,31865,9818,6342,0.5607,0.6916,7.173
Sul Ross State University,Public,No,Yes,20332,7958,6622,0.5387,0.5609,7.33
Tarleton State University,Public,No,No,22730,6231,7589,0.3739,0.5843,7.814
Texas A & M University-Kingsville,Public,No,Yes,22645,8777,9669,0.5676,0.5728,8.056
Texas A & M University-College Station,Public,No,Yes,29920,17485,12231,0.231,0.2935,10.101
The University of Texas at Arlington,Public,No,Yes,23902,5484,10316,0.46,0.3846,8.211
The University of Texas at Austin,Public,No,Yes,27397,19349,13745,0.2298,0.3004,9.632
The University of Texas at Dallas,Public,No,No,27120,9771,12817,0.2522,0.2507,8.747
The University of Texas at Tyler,Public,No,No,20730,9110,8469,0.32,0.2993,7.944
Texas Christian University,Private,No,No,68072,19630,12209,0.1143,0.2754,9.21
Texas Lutheran University,Private,No,Yes,42208,8586,7385,0.4415,0.6802,7.964
The University of Texas Permian Basin,Public,No,Yes,17323,10605,8346,0.4773,0.3958,7.692
The University of Texas at San Antonio,Public,No,Yes,18923,5384,9721,0.4644,0.4891,8.235
Texas Southern University,Public,Yes,No,23173,12049,7907,0.8124,0.7686,7.764
Texas Tech University,Public,No,Yes,23191,7442,9465,0.2235,0.4091,8.871
Texas Wesleyan University,Private,No,Yes,47135,11328,8097,0.503,0.561,7.775
Texas Woman's University,Public,No,Yes,19418,6595,8764,0.5286,0.5529,7.901
Trinity University,Private,No,No,60664,18512,11126,0.1207,0.3204,9.11
Wayland Baptist University,Private,No,Yes,35240,10228,5306,0.5963,0.7202,7.96
West Texas A & M University,Public,No,Yes,20456,5390,7965,0.4255,0.459,7.963
Brigham Young University,Private,No,No,18936,15959,11728,0.1357,0.1108,9.274
Brigham Young University-Hawaii,Private,No,No,19641,11971,10126,0.1453,0.1377,8.071
Southern Utah University,Public,No,No,19854,6794,7226,0.2871,0.7037,7.476
Utah State University,Public,No,No,19886,10338,9396,0.23,0.2402,8.609
University of Utah,Public,No,No,20303,16414,10820,0.1874,0.2646,9.034
Westminster College,Private,No,No,49060,11583,8085,0.2862,0.4841,7.936
Middlebury College,Private,No,No,74248,27896,12050,0.1504,0.2033,9.007
University of Vermont,Public,No,No,34707,15134,10558,0.1337,0.489,8.753
Averett University,Private,No,No,47321,10776,6022,0.5066,0.7773,7.418
Bridgewater College,Private,No,No,51725,7264,6590,0.3655,0.7269,7.98
William & Mary,Public,No,No,39595,17034,11669,0.1028,0.2148,8.998
Regent University,Private,No,No,30136,3760,8289,0.3922,0.5371,7.824
Emory & Henry College,Private,No,No,50310,13275,7110,0.537,0.7741,7.958
Eastern Mennonite University,Private,No,No,51275,11559,5909,0.4653,0.6881,7.52
Ferrum College,Private,No,No,50084,7155,5652,0.521,0.7843,7.73
George Mason University,Public,No,No,25717,13380,11579,0.2875,0.4519,7.999
Hampden-Sydney College,Private,No,No,63310,16084,8221,0.2105,0.557,8.25
Hollins University,Private,No,No,55893,16154,7213,0.3297,0.6811,8.262
James Madison University,Public,No,No,27996,9722,9246,0.1411,0.3829,8.046
Liberty University,Private,No,No,40567,3386,5841,0.3029,0.5629,9.201
Longwood University,Public,No,No,28821,8642,7333,0.294,0.5452,7.867
Mary Baldwin University,Private,No,No,43427,9533,6864,0.5761,0.797,7.505
University of Mary Washington,Public,No,No,28327,7951,8039,0.1819,0.4394,7.744
Marymount University,Private,No,Yes,47495,11310,8422,0.3555,0.5294,7.671
Norfolk State University,Public,Yes,No,26439,10450,8393,0.7602,0.7602,7.389
Old Dominion University,Public,No,No,25722,11024,8855,0.448,0.664,8.367
Randolph-Macon College,Private,No,No,56509,11009,8495,0.2181,0.6497,8.223
Randolph College,Private,No,No,58880,17635,8207,0.3776,0.6713,8.194
University of Richmond,Private,No,No,69606,22992,12012,0.1743,0.3281,9.4
Roanoke College,Private,No,No,61545,10728,7565,0.2929,0.7233,8.193
Shenandoah University,Private,No,No,47850,10562,8133,0.2346,0.6839,7.833
Southern Virginia University,Private,No,No,29875,6419,5946,0.4072,0.5961,6.149
Sweet Briar College,Private,No,No,38835,23526,7110,0.2524,0.5825,7.848
University of Virginia's College at Wise,Public,No,No,22795,11554,7840,0.5018,0.3665,8.018
Virginia Polytechnic Institute and State University,Public,No,No,27283,13052,11654,0.1373,0.3972,9.13
Virginia Commonwealth University,Public,No,No,31983,14831,10000,0.3134,0.4911,9.313
University of Virginia-Main Campus,Public,No,No,34094,19793,14952,0.1317,0.2652,9.842
Virginia Military Institute,Public,No,No,32420,16210,7054,0.1611,0.5481,8.72
Virginia State University,Public,Yes,No,23673,9929,7631,0.6704,0.9005,7.757
Virginia Union University,Private,Yes,No,32082,6952,5527,0.751,0.7759,7.524
Virginia Wesleyan University,Private,No,No,50408,10324,8715,0.4186,0.7703,7.778
Washington and Lee University,Private,No,No,73900,38911,13180,0.1104,0.1688,9.224
Central Washington University,Public,No,No,24008,10194,7710,0.3632,0.5679,7.591
Eastern Washington University,Public,No,No,20480,8314,8781,0.4213,0.495,7.523
The Evergreen State College,Public,No,No,24371,10111,7371,0.5315,0.4724,7.232
Gonzaga University,Private,No,No,61761,12197,9995,0.1203,0.4194,8.486
Northwest University,Private,No,No,45095,10050,7102,0.2947,0.6474,6.953
Saint Martin's University,Private,No,No,52603,8701,6516,0.4179,0.6328,7.419
Seattle Pacific University,Private,No,No,60834,13212,8536,0.4132,0.6136,8.082
Seattle University,Private,No,No,63439,15860,9733,0.1876,0.539,8.37
Washington State University,Public,No,No,26068,10029,10282,0.2591,0.3993,9.029
University of Washington-Seattle Campus,Public,No,No,26825,30940,13441,0.1991,0.2009,9.55
Western Washington University,Public,No,No,24465,10757,10277,0.2325,0.3949,7.959
Whitman College,Private,No,No,69532,22105,9760,0.1435,0.4682,8.752
Whitworth University,Private,No,No,60359,10337,7337,0.3671,0.5771,8.193
Alderson Broaddus University,Private,No,No,42676,7724,5914,0.6421,0.9114,7.24
Appalachian Bible College,Private,No,No,26291,3686,2888,0.6486,0.4054,6.225
Bethany College,Private,No,No,45570,8544,5967,0.5435,0.7609,7.672
Bluefield State College,Public,Yes,No,18685,6969,6380,0.6495,0.3814,6.545
University of Charleston,Private,No,No,43829,6664,6704,0.417,0.6293,7.651
Concord University,Public,No,No,16824,5760,6529,0.5383,0.5082,7.549
Fairmont State University,Public,No,No,17639,6734,6469,0.4573,0.544,7.362
Marshall University,Public,No,No,19586,10432,7926,0.4598,0.5277,8.168
Ohio Valley University,Private,No,No,30222,7257,5191,0.303,0.4091,6.661
West Virginia State University,Public,Yes,No,19144,5074,6274,0.513,0.5688,7.003
West Liberty University,Public,No,No,22361,6324,6868,0.4588,0.6169,7.181
West Virginia University Institute of Technology,Public,No,No,17464,5237,7649,0.4151,0.4088,7.119
West Virginia Wesleyan College,Private,No,No,46187,6603,5966,0.4294,0.7638,7.716
West Virginia University,Public,No,No,22680,12507,10806,0.249,0.5634,8.804
Wheeling University,Private,No,No,41651,10221,7106,0.641,0.9744,6.943
Cardinal Stritch University,Private,No,No,44172,6828,6582,0.3986,0.6812,7.096
Carroll University,Private,No,No,45227,7463,7839,0.232,0.6633,7.852
Carthage College,Private,No,No,59175,10372,8353,0.3065,0.7727,8.047
Lawrence University,Private,No,No,62166,19076,8142,0.2415,0.5276,8.553
Maranatha Baptist University,Private,No,No,27793,7141,4634,0.536,0.48,5.447
Marian University,Private,No,No,38372,6352,5787,0.4537,0.9352,6.905
Marquette University,Private,No,No,59725,13023,9967,0.2239,0.4762,8.844
Milwaukee School of Engineering,Private,No,No,53885,12019,9394,0.2427,0.7177,7.848
Mount Mary University,Private,No,Yes,44284,10271,6548,0.768,0.76,7.346
Northland College,Private,No,No,50029,9262,8336,0.4146,0.7561,6.857
Ripon College,Private,No,No,56059,13608,7469,0.4163,0.7783,7.986
Saint Norbert College,Private,No,No,51383,11129,8416,0.1877,0.6338,8.16
Viterbo University,Private,No,No,40825,7847,6741,0.3357,0.7244,7.746
Wisconsin Lutheran College,Private,No,No,43118,9173,6720,0.2817,0.8075,7.564
University of Wisconsin-Madison,Public,No,No,26393,17029,13363,0.1435,0.254,9.661
University of Wyoming,Public,No,No,20258,16913,9850,0.2106,0.3739,8.726
University of Puerto Rico-Cayey,Public,No,Yes,12618,5503,6794,0.8229,0.024,3.466
University of the Virgin Islands,Public,Yes,No,16381,8171,7079,0.6324,0.2206,7.85
Stanford University,Private,No,No,74570,114640,20971,0.1837,0.0612,10.442
Purdue University-Main Campus,Public,No,No,22645,18311,12677,0.1432,0.2801,9.405
New College of Florida,Public,No,No,20563,24235,8522,0.2789,0.3333,7.667
California State University-San Marcos,Public,No,Yes,22531,7440,10012,0.5087,0.3543,7.42
University of Washington-Bothell Campus,Public,No,No,23189,5545,11354,0.3602,0.2758,7.869
University of Washington-Tacoma Campus,Public,No,No,21705,6133,10504,0.4199,0.2712,7.869
Soka University of America,Private,No,No,50968,38263,12411,0.1667,0.4167,9.104
California State University-Monterey Bay,Public,No,Yes,23389,9150,10011,0.4662,0.4421,7.433
Florida Gulf Coast University,Public,No,No,18151,6773,8590,0.324,0.324,7.884
University of Connecticut-Waterbury Campus,Public,No,Yes,18464,4039,15777,0.5085,0.4316,6.352
University of Connecticut-Avery Point,Public,No,No,19030,13768,15777,0.3897,0.4564,6.732
University of Connecticut-Stamford,Public,No,Yes,25497,3771,15777,0.481,0.393,6.732
The King's University,Private,No,No,22284,5855,8188,0.4211,0.4737,6.387
Oregon State University-Cascades Campus,Public,No,No,25945,3967,11819,0.2473,0.3978,6.832
Franklin W Olin College of Engineering,Private,No,No,74286,32824,12021,0.2,0.3294,8.584
University of California-Merced,Public,No,Yes,35005,10840,11850,0.6497,0.485,7.139
Ave Maria University,Private,No,No,37423,8489,7746,0.2871,0.5677,6.667
The King's College,Private,No,No,58695,13740,10019,0.252,0.9431,5.69
University of Minnesota-Rochester,Public,No,No,25495,5950,6875,0.3742,0.5583,5.863
Texas A&M University-San Antonio,Public,No,Yes,21104,8229,7712,0.4217,0.3855,6.563
John Paul the Great Catholic University,Private,No,Yes,45863,15668,7400,0.3919,0.7973,4.477
University of Connecticut-Hartford Campus,Public,No,No,21187,12984,13909,0.4283,0.4058,7.13
Ottawa University-Surprise,Private,No,Yes,45139,3129,6191,0.4651,0.8023,6.639
Criswell College,Private,No,No,23142,15550,6685,0.5263,0.5263,7.37
Augusta University,Public,No,No,20115,13356,8940,0.4069,0.4462,8.457
University of North Georgia,Public,No,No,16816,5198,7039,0.3139,0.2607,7.834
Antioch College,Private,No,No,50383,20364,6501,0.8095,0.9048,7.66
University of North Texas at Dallas,Public,No,Yes,18930,8261,8371,0.6516,0.1814,5.959
Kennesaw State University,Public,No,No,25059,5279,8162,0.3367,0.4343,7.719
Milligan University,Private,No,No,46072,7922,6660,0.3053,0.5487,7.656
Husson University,Private,No,No,31303,5778,7254,0.4812,0.8447,7.302
Purdue University Northwest,Public,No,No,17408,9595,8786,0.4151,0.3902,7.477
The Pennsylvania State University,Public,No,No,33960,15753,10822,0.2273,0.5123,9.498
