Name,Type,HBCU,HSI,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Pell_Grant,Federal_Loan,logEndowment
Paine College,Private,Yes,No,26534,7713,3008,0.875,0.9375,7.084
Piedmont University,Private,No,No,40949,8877,7134,0.3956,0.7253,7.731
Reinhardt University,Private,No,No,39983,7435,6074,0.3423,0.619,7.576
Savannah State University,Public,Yes,No,16819,6167,7143,0.712,0.8368,6.957
Shorter University,Private,No,No,34403,5329,5122,0.4784,0.6914,7.146
Spelman College,Private,Yes,No,54163,15268,8575,0.4438,0.8702,8.592
Thomas University,Private,No,No,27354,8621,5198,0.236,0.8315,6.754
Truett McConnell University,Private,No,No,33299,4062,4388,0.3131,0.6308,6.809
Valdosta State University,Public,No,No,20998,5315,7290,0.565,0.5763,7.709
Wesleyan College,Private,No,No,34952,11500,6141,0.6316,0.6541,7.752
University of West Georgia,Public,No,No,23684,7933,7368,0.5104,0.5976,7.537
Young Harris College,Private,No,No,44203,8125,5558,0.366,0.6453,8.038
Chaminade University of Honolulu,Private,No,No,38649,9729,8211,0.5714,0.3626,7.369
University of Hawaii at Hilo,Public,No,No,20440,16525,10646,0.4406,0.3858,5.431
University of Hawaii at Manoa,Public,No,No,23405,25120,12581,0.2598,0.3398,7.639
Hawaii Pacific University,Private,No,No,47698,6030,8525,0.4114,0.5844,7.622
University of Hawaii-West Oahu,Public,No,No,19914,13343,10041,0.4145,0.2642,5.342
Boise Bible College,Private,No,No,24258,14549,4575,0.6667,0.4,6.009
Boise State University,Public,No,No,21621,8023,8321,0.2385,0.4119,8.072
University of Idaho,Public,No,No,21525,12959,9583,0.3482,0.4595,8.465
The College of Idaho,Private,No,No,45607,8053,7156,0.275,0.6,8.021
Lewis-Clark State College,Public,No,No,16922,7971,6523,0.4898,0.5328,6.934
Northwest Nazarene University,Private,No,No,42068,5686,6482,0.3584,0.6559,7.637
School of the Art Institute of Chicago,Private,No,No,68575,17599,10883,0.1583,0.3586,8.381
Aurora University,Private,No,Yes,35658,5143,8414,0.4723,0.6239,7.624
Blackburn College,Private,No,No,32584,8000,6482,0.6667,0.8198,7.412
Bradley University,Private,No,No,48295,14703,9134,0.3244,0.6832,8.456
Chicago State University,Public,No,No,21867,20865,8118,0.7403,0.7845,6.783
University of Chicago,Private,No,No,81531,86008,18432,0.1328,0.0643,9.86
Concordia University-Chicago,Private,No,Yes,42750,6732,4446,0.46,0.7429,7.393
Eastern Illinois University,Public,No,No,24125,10306,8611,0.5706,0.6911,7.765
Elmhurst University,Private,No,Yes,48429,7934,8274,0.453,0.6641,8.051
Eureka College,Private,No,No,37986,6883,5619,0.4815,0.7315,7.497
Governors State University,Public,No,No,21549,12938,7570,0.7029,0.6234,6.369
Greenville University,Private,No,No,40959,8698,5722,0.385,0.6903,7.326
University of Illinois Chicago,Public,No,Yes,25831,27494,12448,0.5727,0.2851,8.566
Benedictine University,Private,No,No,46006,7635,8636,0.4448,0.5756,7.551
University of Illinois Urbana-Champaign,Public,No,No,30302,15154,12731,0.2821,0.3581,9.249
Illinois Wesleyan University,Private,No,No,63174,20211,8449,0.2078,0.6773,8.33
Illinois Institute of Technology,Private,No,No,64710,12908,12752,0.2899,0.4837,8.381
Illinois State University,Public,No,No,31124,7980,8582,0.3317,0.5862,8.159
Judson University,Private,No,Yes,40737,7296,6081,0.5056,0.6722,6.837
Knox College,Private,No,No,60393,14104,7078,0.3094,0.575,8.231
Lewis University,Private,No,No,43255,10696,9310,0.3668,0.5862,7.902
Loyola University Chicago,Private,No,No,60717,12264,10863,0.2137,0.6038,8.839
McKendree University,Private,No,No,44383,6597,6777,0.3705,0.6054,7.512
Methodist College,Private,No,No,30504,10434,7105,0.3,0.8,6.36
Millikin University,Private,No,No,49304,10507,6448,0.3745,0.6934,8.029
Monmouth College,Private,No,No,51176,14804,6784,0.3569,0.6706,8.089
North Central College,Private,No,No,52405,10163,8780,0.2298,0.6768,8.076
North Park University,Private,No,Yes,39373,9108,7728,0.5013,0.6469,7.901
Northwestern University,Private,No,No,78654,39868,17513,0.2039,0.2268,9.916
Northeastern Illinois University,Public,No,Yes,24295,16855,8512,0.7431,0.25,7.094
Olivet Nazarene University,Private,No,No,48119,7453,7161,0.4152,0.7787,7.626
Quincy University,Private,No,No,41831,6229,5524,0.4233,0.6977,7.126
Rockford University,Private,No,No,43866,7022,6005,0.5,0.6118,7.398
Roosevelt University,Private,No,Yes,44322,10227,8277,0.6096,0.7051,8.094
Dominican University,Private,No,Yes,43228,11969,7244,0.4916,0.6754,7.581
University of St Francis,Private,No,No,42819,5871,7884,0.4085,0.6128,7.339
Saint Xavier University,Private,No,Yes,41360,6952,7620,0.6377,0.8638,7.231
University of Illinois Springfield,Public,No,No,24309,11609,8241,0.4905,0.5149,7.27
Southern Illinois University-Carbondale,Public,No,No,29023,18453,7698,0.3268,0.5289,8.187
Southern Illinois University-Edwardsville,Public,No,No,24244,13961,8726,0.3368,0.5058,7.424
Trinity Christian College,Private,No,No,42996,9455,7112,0.2803,0.5732,7.097
Trinity International University-Illinois,Private,No,No,47226,13171,6007,0.3922,0.902,7.628
VanderCook College of Music,Private,No,No,37584,5646,5962,0.375,0.5,5.708
Western Illinois University,Public,No,No,26287,13424,9068,0.5011,0.6357,7.783
Wheaton College,Private,No,No,50923,15763,9491,0.2199,0.5472,8.702
Anderson University,Private,No,No,44342,10410,6367,0.4303,0.7554,7.509
Butler University,Private,No,No,61623,12818,9296,0.129,0.4588,8.343
DePauw University,Private,No,No,66946,21772,9200,0.1891,0.3333,8.864
Earlham College,Private,No,No,61156,26519,6883,0.3314,0.4767,8.622
Franklin College,Private,No,No,46533,10214,6595,0.4556,0.763,7.941
Goshen College,Private,No,Yes,44994,10020,5869,0.4375,0.6563,8.056
Grace College and Theological Seminary,Private,No,No,36725,7651,7127,0.3416,0.595,7.274
Hanover College,Private,No,No,52998,13556,7895,0.346,0.6055,8.165
Holy Cross College,Private,No,No,44469,6253,5768,0.2406,0.4599,6.787
Huntington University,Private,No,No,38461,10490,6785,0.386,0.6884,7.458
Purdue University Fort Wayne,Public,No,No,19224,8685,7135,0.42,0.4388,7.78
Indiana University-Purdue University-Indianapolis,Public,No,No,21127,18926,8586,0.4167,0.41,9.078
University of Indianapolis,Private,No,No,44681,9676,7550,0.4732,0.6839,8.039
University of Southern Indiana,Public,No,No,20146,7470,7349,0.3685,0.5214,8.087
Indiana University-South Bend,Public,No,No,16667,9008,6545,0.4818,0.3777,7.357
Indiana University-Bloomington,Public,No,No,25587,16549,10738,0.1854,0.3364,9.087
Indiana University-Northwest,Public,No,Yes,13054,9156,7171,0.5126,0.336,7.082
Indiana University-Southeast,Public,No,No,17421,8478,7191,0.4415,0.3984,7.279
Indiana University-East,Public,No,No,16144,6755,6863,0.53,0.3741,6.814
Indiana Wesleyan University-Marion,Private,No,No,39347,10813,7494,0.3373,0.6418,8.311
University of Notre Dame,Private,No,No,74172,30820,14612,0.1126,0.2672,10.063
Oakland City University,Private,No,No,37683,5034,5797,0.5357,0.4911,6.742
Rose-Hulman Institute of Technology,Private,No,No,70401,20963,10977,0.1431,0.496,8.339
University of Saint Francis-Fort Wayne,Private,No,No,40759,9351,7124,0.4832,0.6667,7.494
Saint Mary-of-the-Woods College,Private,No,No,42591,8911,5008,0.5524,0.7622,7.111
Saint Mary's College,Private,No,No,58956,14633,7619,0.2887,0.6299,8.303
Trine University,Private,No,No,47142,8066,7583,0.2977,0.6926,7.542
Valparaiso University,Private,No,No,53847,10959,7602,0.2755,0.6099,8.413
Wabash College,Private,No,No,58770,17625,8967,0.2445,0.6288,8.537
Central College,Private,No,No,53402,13930,7452,0.2938,0.7626,7.902
Clarke University,Private,No,No,48724,10053,6230,0.4094,0.8031,7.424
Cornell College,Private,No,No,58201,13424,7532,0.2111,0.6333,7.882
Dordt University,Private,No,No,46028,10267,6438,0.2429,0.5917,7.682
Drake University,Private,No,No,57643,12592,8943,0.2195,0.5225,8.354
University of Dubuque,Private,No,No,47188,8784,6903,0.487,0.7109,8.186
